ward_name,record_date,shift,patients_general_level_5,patients_general_level_4,patients_general_level_3,patients_general_level_2,patients_general_level_1,patients_special_level_5,patients_special_level_4,patients_special_level_3,patients_special_level_2,patients_special_level_1,total_patients,carried_forward_patients,admissions,discharges,transfers_in,transfers_out,deaths,nurses_hw,nurses_rn,nurses_tn,nurses_pn,nurses_aide,nurses_ward,equipment_ventilator,equipment_hfnc,notes
หอผู้ป่วยกุมารเวชกรรม 3,1/5/2026,Night,0,0,4,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,2,0,0,1,0,0,0,
หอผู้ป่วยกุมารเวชกรรม 3,1/5/2026,Morning,0,0,4,5,0,0,0,0,0,0,9,4,7,2,0,0,0,1,2,0,0,1,1,0,0,
หอผู้ป่วยกุมารเวชกรรม 3,1/5/2026,Afternoon,0,0,5,0,0,0,0,0,0,0,5,9,0,4,0,0,0,0,2,0,0,1,0,0,0,
หอผู้ป่วยจิตเวช,1/5/2026,Night,0,0,6,4,0,0,0,0,0,0,10,0,0,0,0,0,0,0,2,0,0,1,0,0,0,
หอผู้ป่วยสูติกรรมหลังคลอด,1/5/2026,Night,0,0,1,5,0,0,0,0,2,0,8,0,0,0,1,0,0,0,2,0,0,1,0,0,0,อากาศร้อนแอร์ห้องทำงานเสีย
หอผู้ป่วยกุมารเวชกรรม 3,2/5/2026,Night,0,0,5,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,2,0,0,1,0,0,0,
หอผู้ป่วยกุมารเวชกรรม 3,2/5/2026,Morning,0,0,3,0,0,0,0,0,0,0,3,5,0,2,0,0,0,0,2,0,0,1,1,0,0,
หอผู้ป่วยกุมารเวชกรรม 3,2/5/2026,Afternoon,0,0,3,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,2,0,0,1,0,0,0,
หอผู้ป่วยสูติกรรมหลังคลอด,2/5/2026,Morning,0,0,0,4,0,0,0,0,3,0,7,0,0,3,2,1,0,0,2,0,1,0,1,0,0,
หอผู้ป่วยสูติกรรมหลังคลอด,2/5/2026,Afternoon,0,0,1,5,0,0,0,0,3,0,9,7,0,0,2,0,0,0,2,0,1,0,1,0,0,
หอผู้ป่วยกุมารเวชกรรม 3,3/5/2026,Night,0,0,4,0,0,0,0,0,0,0,4,3,1,0,0,0,0,0,2,0,0,1,0,0,0,
หอผู้ป่วยกุมารเวชกรรม 3,3/5/2026,Morning,0,0,4,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,2,0,0,1,1,0,0,
หอผู้ป่วยสูติกรรมหลังคลอด,3/5/2026,Night,0,0,1,5,0,0,0,0,3,0,9,9,0,0,0,0,0,0,2,0,0,0,0,0,0,
หอผู้ป่วยสูติกรรมหลังคลอด,3/5/2026,Morning,0,0,1,4,0,0,0,0,1,0,6,9,0,3,0,0,0,0,2,0,0,1,1,0,0,
